City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wagar,SD,2022-05-19 03:14:45,16.1525,36.2032,82.87,24,17,3.6
68,Quirinopolis,BR,2022-05-19 03:14:46,-18.4483,-50.4517,47.5,70,62,3.62
69,Sambava,MG,2022-05-19 03:14:46,-14.2667,50.1667,71.87,79,76,12.17
70,Dhidhdhoo,MV,2022-05-19 03:14:46,6.8833,73.1,83.84,75,100,18.01
71,Bathsheba,BB,2022-05-19 03:14:47,13.2167,-59.5167,81.21,83,20,11.5
72,Busselton,AU,2022-05-19 03:14:47,-33.65,115.3333,66.43,73,68,11.03
73,Vila Velha,BR,2022-05-19 03:11:08,-20.3297,-40.2925,66.15,45,0,4.61
74,Bapatla,IN,2022-05-19 03:14:47,15.9,80.4667,88.5,66,100,10.27
75,Brae,GB,2022-05-19 03:11:24,60.3964,-1.353,50.49,82,100,21.72
76,Tromso,NO,2022-05-19 03:14:48,69.6496,18.957,33.82,69,51,5.75
77,Arraial Do Cabo,BR,2022-05-19 03:14:48,-22.9661,-42.0278,66.92,57,3,22.28
78,Berbera,SO,2022-05-19 03:14:48,10.4396,45.0143,85.73,60,37,4.85
79,Grindavik,IS,2022-05-19 03:14:49,63.8424,-22.4338,46.87,100,100,5.75
80,Moura,PT,2022-05-19 03:14:49,38.1401,-7.4486,59.5,72,18,5.5
81,Borovskoy,KZ,2022-05-19 03:14:49,53.8,64.15,50.63,70,52,19.75
82,Port-Gentil,GA,2022-05-19 03:14:49,-0.7193,8.7815,79.75,79,100,17.38
83,Moose Factory,CA,2022-05-19 03:14:50,51.2585,-80.6094,41.47,54,76,4.94
84,Kyzyl-Suu,KG,2022-05-19 03:14:50,42.3414,78.0056,53.51,78,100,4.16
85,Walvis Bay,NA,2022-05-19 03:14:51,-22.9575,14.5053,58.08,96,58,3.58
86,Nyanza,RW,2022-05-19 03:14:51,-2.3519,29.7509,54.37,93,100,1.39
87,Longyearbyen,SJ,2022-05-19 03:14:51,78.2186,15.6401,28.24,74,75,9.22
88,Coleraine,GB,2022-05-19 03:14:52,55.1333,-6.6667,46.89,89,12,11.88
